name,county,latitude,longitude,year,acres,structures
Rancho Fire,Amador,38.385,-121.003611,2016,372,
Hog Fire,Tehama,40.30594,-122.1295,2016,360,
Pacheco Fire,Calaveras,38.08056,-120.81394,2016,341,
Appaloosa Fire,Calaveras,38.02845,-120.61153,2016,310,
Flat Fire,Kern,0,0,2016,306,
Havilah Fire,Kern,35.4976,-118.5097,2016,304,
Butte Fire,Sutter,39.188321,-121.78003,2016,300,
DeWolf Fire,Fresno,36.88286,-119.654,2016,278,
Creek Fire,Yolo,38.69971,-122.15457,2016,277,
Tobin Fire,Plumas,39.92,-121.32,2016,248,
King Fire ,San Benito,0,0,2016,237,2
Onyx Fire,Kern,35.68313,-118.21793,2016,221,
Washington Fire,Santa Barbara,34.75134,-120.55297,2016,215,
Reservoir Fire,Lake,39.12366,-122.50373,2016,215,
Grant Fire,Alameda,37.74369,-121.58677,2016,211,
Camanche Fire,Amador,38.26874,-120.90265,2016,210,
Big Fire,Fresno,36.92244,-119.39619,2016,188,
Emerald Fire,El Dorado,38.93449,-120.10744,2016,176,
Briggs Fire,Riverside,0,0,2016,173,
Athens Fire,Placer,38.8390117,-121.3090268,2016,169,
Sunny Fire,Fresno,36.84479,-119.34487,2016,158,
Wheatland Fire,Los Angeles,34.276,-118.354,2016,156,
Hills Fire,Fresno,0,0,2016,151,
Old Fire,Del Norte,37.75972,-120.029626,2016,150,
Holy Fire,Orange,33.6542,-117.5221,2016,150,
Shedd Fire,San Luis Obispo,35.61961,-120.39993,2016,150,
Bird Fire,San Joaquin,37.62215,-121.36665,2016,147,
Frame Fire,Fresno,36.14161,-120.62048,2016,145,
Maze Fire,Stanislaus,0,0,2016,140,
Temecula Fire,Riverside,33.476894,-117.140883,2016,139,
Famoso Fire,Kern,35.60748,-118.94811,2016,138,
Avocado Fire,Fresno,36.78769,-119.38248,2016,132,
Bangor Fire,Butte,39.4403,-121.42647,2016,130,
Green Fire,Fresno,37.0099,-119.5792,2016,123,
Rock Creek Fire,Mono,0,0,2016,122,
Coe Fire,Stanislaus,37.17072,-121.42238,2016,120,
Sierra Fire,Santa Clara,37.41896,-121.79669,2016,114,
Coal Fire,Butte,39.595,-121.6008,2016,112,
Broken Fire,Madera,37.25601,-119.65776,2016,103,
Cow Fire,Shasta,40,-121.93923,2016,100,
Bailey Fire,Santa Clara,0,0,2016,100,
Hart Fire,Kern,35.24504,-118.60344,2016,100,
Diablo Fire,Stanislaus,0,0,2016,100,
Bradley Fire,Monterey,35.85093,-120.81081,2016,100,
Feather Fire,San Diego,32.9612,-116.7945,2016,100,
Mercury Fire,San Benito,5487,-120.841536,2016,95,
Dunstone Fire,Butte,39.33035,-121.78973,2016,91,
Santos Fire,Butte,39.79547,-121.71662,2016,88,
Flores Fire,Tehama,40.07846,-122.2071,2016,88,
Moore Fire,Placer,38.86804,-121.37704,2016,88,
Scott Fire,Sacramento,38.517772,-121.103642,2016,87,
Frazier Fire,San Luis Obispo,35.70821,-120.82266,2016,86,
Grub Fire,Madera,37.3228,-119.7738,2016,85,
Tulloch Fire,Tuolumne,37.927613,-120.528836,2016,85,
Dunnigan Fire,Yolo,38.8866,-122.04726,2016,84,
Cheyenne Fire,Calaveras,0,0,2016,83,2
Old Fire,San Benito,36.49914,-121.04993,2016,83,
Baker Fire,Tehama,40.19611,-122.26736,2016,80,
Serpa Fire,Madera,0,0,2016,80,
Hoag Fire,Tehama,39.7947,-121.857,2016,80,
Sherwood Fire,Ventura,36.92244,-119.39619,2016,78,
Lake Fire,Shasta,40.68192,-122.4096,2016,75,
Newmark Fire,Fresno,36.6543,-119.5327,2016,70,
Arroyo Fire,Monterey,36.2833,-121.3306,2016,70,
Pala Fire,San Diego,33.41639,-117.08829,2016,70,7
Foothill Fire,Lake,39.0863,-122.7891,2016,69,
Creek Fire,Napa,38.40958,-122.43172,2016,65,
Cotton Fire,Kern,35.77135,-120.251,2016,61,
Oak Fire,Solano,38.33475,-122.02564,2016,57,
Baker Fire,Calaveras,37.98171,-120.64241,2016,57,
Mill Fire,Siskiyou,0,0,2016,56,
Lowe Fire,Monterey,36.1934,-120.9293,2016,52,
Ruff Fire ,Mendocino,39.7299,-123.5044,2016,50,
Spring Fire,San Bernardino,34.3183,-117.3189,2016,50,
Storksbill Fire,El Dorado,38.79549,-121.00299,2016,50,
Casitas Fire,Ventura,0,0,2016,50,
70 Fire,Butte,39.43351,-121.6051,2016,49,
Auburn Fire,Nevada,39.20427,-121.05948,2016,47,
Laguna Fire,Orange,33.57872,-117.77395,2016,47,
Bell Fire,Amador,38.5212,-120.8416,2016,45,
Kugelman Fire,Lake,36.09974,-120.51057,2016,45,
Kuehner Fire,Ventura,34.27619,-118.63264,2016,45,
Paskenta Fire,Tehama,39.93965,-122.40142,2016,43,
Walker Fire,Kern,0,0,2016,43,
Dockery Fire,Lassen,0,0,2016,42,
Boys Fire,Sacramento,38.558,-121.1309,2016,40,
Evergreen Fire,Riverside,0,0,2016,40,
Franklin Fire,Contra Costa,38.01264,-122.1885,2016,40,
Phoenix Fire,Nevada,39.39051,-120.51887,2016,38,
Fork Fire,Madera,37.24006,-119.4741,2016,38,
Mina Fire,Mendocino,39.8748511,-123.4267011,2016,36,
Knoxville Fire,Lake,38.68403,-122.26015,2016,36,
Gopher Fire,San Diego,33.22558,-117.14547,2016,35,
Mountain Fire,Shasta,40.61213,-122.47091,2016,35,
Neal Fire,Butte,0,0,2016,35,
Stagecoach Fire,Calaveras,37.96311,-120.67335,2016,35,
Campo Fire,Calaveras,38.22017,-120.8678,2016,33,
Moffett Fire,Siskiyou,41.6314,-122.7933,2016,32,
Frymire Fire,Tuolumne,37.81434,-120.69521,2016,32,
Clay Fire,Sacramento,38.3131,-121.06452,2016,32,
Old Fire,Butte,39.8851,-121.6998,2016,30,
Lone Pine Fire,Inyo,36.58972,-118.15589,2016,30,
Hidden Fire,San Benito,36.80296,-121.40304,2016,30,
70 Fire,Butte,39.624017,-121.595093,2016,30,
Taglio Fire,Merced,37.2171,-121.08036,2016,30,
Gopher Fire,San Diego,33.254355,-117.158475,2016,28,
Rock Fire,San Diego,33.00056,-116.9571,2016,28,
Deer Fire,Amador,38.2581,-120.8657,2016,26,
Bailey Fire,Siskiyou,41.96191,-122.59328,2016,26,
Oak Fire,Santa Clara,37.11831,-121.69784,2016,25,
Oak Fire,Santa Clara,37.06531,-121.68577,2016,25,
Alder Fire,El Dorado,0,0,2016,25,
North Branch Extension Fire,Lake,0,0,2016,25,
Aukum Fire,El Dorado,38.64107,-120.6955,2016,25,
Bryson Fire,Monterey,35.8378273,-121.0381507,2016,25,
Keswick Fire,Shasta,40.61388,-122.46777,2016,24,
Stafford Fire,Humboldt,40.4572,-124.05804,2016,23,
Table Fire,Siskiyou,41.71847,-122.36924,2016,23,
Summit Fire,Humboldt,40.9878,-123.77832,2016,21,
Ken Fire,San Bernardino,34.25858,-117.4415,2016,20,
Mockingbird Fire,Lake,39.1408865,-122.9148951,2016,20,
Edison Fire,Ventura,0,0,2016,20,
Willow Fire,Amador,0,0,2016,19,
Shelter Fire,Ventura,33.11645,-116.58542,2016,15,
Collier Fire,Tehama,0,0,2016,11,
Fiddler Fire,Shasta,0,0,2016,11,
Jacobson Fire,Tulare,36.217,-118.551,2016,10,
Mokelumne Fire,Alpine,38.57554,-120.00606,2016,0,
Sand Fire,Los Angeles,0,0,2016,0,
Soda Fire,San Luis Obispo,35.01382,-119.58206,2016,0,
Old Fire,Los Angeles,0,0,2016,0,
Chimney Fire,Tulare,35.84883,-118.08591,2016,0,
Gorman Fire,Los Angeles,34.6888731,-118.7892593,2016,0,
Thomas Fire,Santa Barbara,34.41521,-119.09124,2017,281893,1063
Thomas Fire,Ventura,34.41521,-119.09124,2017,281893,1063
Long Valley Fire,Lassen,40.07045,-120.14013,2017,83733,
Modoc July Complex,Modoc,0,0,2017,83120,
Detwiler Fire,Mariposa,37.61757,-120.21321,2017,81826,131
Eclipse Complex,Siskiyou,41.841,-123.474,2017,78698,
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),Napa,38.4041,-122.5209,2017,56556,1355
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),Sonoma,38.4041,-122.5209,2017,56556,1355
Atlas Fire (Southern LNU Complex),Napa,38.39206,-122.24367,2017,51624,120
Atlas Fire (Southern LNU Complex),Solano,38.39206,-122.24367,2017,51624,120
Garza Fire,Kings,35.93273,-120.20014,2017,48889,1
Miller Complex,Siskiyou,42.039,-123.218,2017,39715,
Tubbs Fire (Central LNU Complex),Napa,38.60895,-122.62879,2017,36807,5636
Tubbs Fire (Central LNU Complex),Sonoma,38.60895,-122.62879,2017,36807,5636
Pier Fire,Tulare,36.15356,-118.74103,2017,36556,2
Redwood Valley Fire (Mendocino Lake Complex),Mendocino,39.24873,-123.16635,2017,36523,546
Alamo Fire,San Luis Obispo,35.0179,-120.3223,2017,28687,0
Orleans Complex,Siskiyou,41.59,-123.501,2017,27276,
Helena - Fork Fire,Trinity,40.76025,-123.10003,2017,21846,
Lion Fire,Tulare,36.27138,-118.48555,2017,18900,
R-4 Fire,Lassen,40.69573,-119.93499,2017,18618,
Whittier Fire,Santa Barbara,34.55096,-119.9494,2017,18430,
Pocket Fire (Central LNU Complex),Sonoma,38.76549,-122.90939,2017,17357,6
Schaeffer Fire,Tulare,0,0,2017,16031,
Creek Fire,Los Angeles,34.31283,-118.35863,2017,15619,37
Buck Fire,Trinity,40.2275,-123.03583,2017,13417,
Railroad Fire,Madera,37.44663,-119.64622,2017,12407,
Elm Fire,Fresno,36.12089,-120.37116,2017,10343,
Cascade Fire (Wind Complex),Yuba,39.32198,-121.4021,2017,9989,264
Canyon 2 Fire,Orange,33.87041,-117.70975,2017,9217,25
Slinkard Fire,Mono,38.655,-119.55425,2017,8925,
Cherokee Fire,Butte,39.62496,-121.52966,2017,8417,6
Empire Fire,Mariposa,37.644,-119.618,2017,8094,
Parker 2 Fire,Modoc,41.466,-120.321,2017,7697,
La Tuna Fire ,Los Angeles,34.22957,-118.2674,2017,7194,
South Fork Fire,Mariposa,37.538,-119.598,2017,7000,
Manzanita Fire,Riverside,33.530045,-116.594422,2017,6309,
LaPorte Fire (Wind Complex),Butte,39.39455,-121.40613,2017,6151,74
Rye Fire,Los Angeles,34.45283,-118.58188,2017,6049,6
Mud Fire,Lassen,40.43962,-120.22215,2017,6042,
Wall Fire,Butte,39.45352,-121.41222,2017,6033,41
Jayne Fire,Fresno,36.07228,-120.26561,2017,5738,
Summit Complex,Stanislaus,38.329,-119.782,2017,5247,
Ruth Complex,Trinity,40.17598,-123.36882,2017,4736,
Minerva Fire,Plumas,39.9034,-120.9761,2017,4310,
Lilac Fire,San Diego,33.3237,-117.163,2017,4100,157
Ponderosa Fire,Butte,39.57701,-121.30209,2017,4016,54
Palmer Fire,Riverside,33.97471,-117.09984,2017,3874,
Young Fire,Siskiyou,41.853,-123.676,2017,3142,
Hawk Fire,Kern,35.77896,-118.89627,2017,2940,
Canyon Fire,Orange,33.8668,-117.68598,2017,2662,
Eureka Fire,Plumas,39.75312,-120.75485,2017,2575,
I-5 Fire,Kings,36.05187,-120.05404,2017,2312,
Indian Fire,Tulare,36.257,-118.296,2017,2295,
Roadrunner Fire,Tulare,36.0226,-118.94252,2017,2289,
Winters Fire,Yolo,38.49521,-122.0251,2017,2269,
Sulphur Fire (Mendocino Lake Complex),Lake,39.01387,-122.64543,2017,2207,162
Gate Fire,San Diego,32.65597,-116.80527,2017,2056,
Adobe Fire (Central LNU Complex),Sonoma,0,0,2017,1868,
Parkfield Fire,Monterey,35.86949,-120.57894,2017,1816,
Parkfield Fire,San Luis Obispo,35.86949,-120.57894,2017,1816,
Wright Fire,Merced,36.96655,-120.89261,2017,1800,
Creek Fire,Stanislaus,38.12,-119.941,2017,1749,
37 Fire,Sonoma,38.14242,-122.47301,2017,1660,
Park Fire,Fresno,35.95911,-120.55579,2017,1649,
Quail Fire,Kern,35.59904,-119.08312,2017,1626,
Hill Fire,San Luis Obispo,35.4025,-120.4992,2017,1598,4
Derrick Fire,Fresno,36.269125,-120.620791,2017,1538,
Highway Fire,Kern,35.53456,-118.66733,2017,1522,
Holcomb Fire,San Bernardino,34.2976,-116.826,2017,1503,
Oakwood Fire,Madera,37.0825,-119.8011,2017,1431,
Garden Fire,Kern,35.543,-118.654,2017,1350,
Opera Fire,Riverside,34.00566,-117.30693,2017,1350,
Caldwell Fire,Kern,35.76,-118.406,2017,1319,
Latrobe Fire,Sacramento,38.5181,-121.104,2017,1286,
Tarina Fire ,Kern,35.38298,-118.80123,2017,1200,
Buffalo Fire,San Diego,33.402411,-117.402445,2017,1088,
Hudson Fire,Kern,34.94373,-119.44751,2017,1083,
Blaine Fire,Riverside,33.98212,-117.30819,2017,1044,
Mission Fire,Madera,37.21616,-119.48067,2017,1035,4
Chilcoot Fire,Plumas,39.75371,-120.1397,2017,1020,
Range Fire,San Diego,33.34988,-117.39818,2017,1000,
Berry Fire,Shasta,40.98352,-121.81623,2017,995,
El Dorado Fire,Fresno,36.530836,-120.206592,2017,976,
Grade Fire,Mendocino,39.30125,-123.28825,2017,900,
Beale Fire,Yuba,39.1234,-121.32957,2017,867,
Wildomar Fire,Riverside,33.60247,-117.34192,2017,866,
Poslin Fire,Lassen,39.888,-120.066,2017,859,
Lobo Fire (Wind Complex),Nevada,39.24549,-121.12792,2017,821,48
Lake Fire,Los Angeles,34.55607,-118.60703,2017,800,
Yankee Fire,San Luis Obispo,35.7908,-120.77485,2017,775,
Placerita Fire,Los Angeles,34.37443,-118.49343,2017,760,
Farad Fire,Sierra,39.439722,-120.027222,2017,747,
Jacksonville Fire,Tuolumne,37.905545,-120.408135,2017,690,
Peak Fire,Mariposa,37.37397,-119.83556,2017,680,2
Mart Fire,San Bernardino,34.14575,-117.17813,2017,670,
Ben Fire,Mariposa,37.3762,-119.9646,2017,630,
Battle Fire,Modoc,41.85763,-121.29581,2017,562,
Mias Fire,Riverside,33.95036,-116.88066,2017,545,
W-2 Fire,Lassen,41.11989,-120.74968,2017,530,
Ming Fire,Kern,35.4605,-118.85896,2017,506,
Deluz Fire,San Diego,33.3906,-117.32348,2017,486,
Fay Fire,Siskiyou,41.3975,-122.8428,2017,469,
Red Fire,San Luis Obispo,35.40357,-120.28037,2017,460,
Bridge Fire,San Bernardino,34.09773,-117.10567,2017,460,
Monterey Fire,Fresno,36.616986,-120.369347,2017,450,
Rucker Fire,Santa Barbara,34.67403,-120.4393,2017,444,
Eastman Fire,Madera,37.14624,-120.015509,2017,429,
Table Fire,El Dorado,38.848,-120.287,2017,426,
Skirball Fire,Los Angeles,34.09454,-118.48178,2017,422,
Elephant Fire,Tulare,36.22265,-119.06598,2017,416,
Dode Fire,Modoc,41.72163,-121.30451,2017,410,
Jennings Fire,San Diego,32.84796,-116.85396,2017,400,
Sonoma Fire,Fresno,36.45491,-120.2445,2017,400,
Pleasant Fire,Nevada,39.34292,-121.12004,2017,392,0
Bear Fire,Santa Cruz,37.18356,-122.07012,2017,391,6
West Fire,Modoc,41.16716,-120.58342,2017,380,
Chris Fire,Mono,38.46111,-119.48284,2017,370,
Willow Fire,Contra Costa,38.02929,-122.25544,2017,370,
Creek Fire,Fresno,36.27306,-120.65185,2017,357,
Stone Fire,San Luis Obispo,35.42433,-120.47322,2017,340,
Dinely Fire,Tulare,36.45809,-118.87676,2017,339,
Rose Fire,Kern,34.92907,-118.9267,2017,338,
Bryant Fire,San Bernardino,34.08492,-117.03826,2017,325,
Marble Fire,Del Norte,41.478,-123.506,2017,319,
Liberty Fire,Riverside,33.59257,-117.14979,2017,300,
Bravo Fire,Kern,35.41283,-118.84466,2017,288,
Little Mountain Fire,San Bernardino,34.16564,-117.33334,2017,260,
Lost Fire,San Diego,33.34659,-116.66107,2017,255,
Huasna Fire,San Luis Obispo,35.12269,-120.39387,2017,245,
Murphy Fire,Fresno,36.24653,-120.31598,2017,237,
Largo Fire,El Dorado,38.538332,-121.039267,2017,236,
Deer Complex,Contra Costa,37.87808,-121.78677,2017,231,
Spring Fire,Mariposa,37.4591,-119.921,2017,225,0
Camp Fire,San Luis Obispo,35.34541,-120.76464,2017,225,
Arrow Fire,San Luis Obispo,35.21177,-119.87525,2017,225,
Bodfish Fire,Kern,35.59804,-118.47939,2017,206,
Eagle Fire,Riverside,33.85323,-117.48195,2017,205,
Skeleton Fire,Lake,39.44543,-122.85194,2017,200,
Range Fire,Alameda,37.72543,-121.90516,2017,200,
Eclipse Fire,San Diego,32.65003,-116.42907,2017,200,
Rose Fire,Riverside,33.689092,-117.396404,2017,200,
Tehama Fire,Tehama,40.02261,-121.91425,2017,194,
Wasioja Fire,Santa Barbara,34.9465,-119.8036,2017,190,
Toll Fire,Plumas,39.9864,-120.89746,2017,186,
Wild Fire,Fresno,36.704679,-120.405077,2017,186,
Rolling Fire,Kern,35.3091,-118.701,2017,184,
Quarry Fire,Kern,35.19008,-118.76152,2017,183,
Laverne Fire,Shasta,40.47106,-122.43608,2017,180,5
High Fire,San Bernardino,34.41204,-117.03031,2017,170,
Hills Fire,Riverside,33.87679,-117.00258,2017,168,
Evans Fire,Sierra,39.71101,-120.02325,2017,168,
Honcut Fire,Butte,39.37192,-121.53865,2017,166,
Peg Fire,Lassen,40.80968,-120.48641,2017,157,
26 Fire,Madera,37.12759,-120.0193,2017,157,
Corral Fire,Alameda,37.63358,-121.49925,2017,155,
Hill Fire,Siskiyou,41.9808,-121.9741,2017,155,
Smiley Fire,Riverside,33.98639,-117.21314,2017,153,
Honey Fire,Butte,39.74679,-121.67261,2017,150,
Olive Fire,San Luis Obispo,35.7751,-120.23656,2017,150,
Lucy Fire,San Luis Obispo,35.6871,-120.3187,2017,150,
41 Fire,Madera,36.90967,-119.79315,2017,150,
Tower Fire,San Bernardino,34.30104,-117.45646,2017,150,
River Fire,Trinity,40.46836,-123.51619,2017,148,
Grape Fire,Mendocino,39.02482,-123.1362,2017,146,
Soda Fire,Butte,40.07613,-121.56858,2017,143,
Ranch Fire,El Dorado,38.559707,-120.70013,2017,140,
French Fire,El Dorado,38.5758,-120.915,2017,136,
Gorman Fire,Los Angeles,34.792882,-118.851943,2017,135,
King Fire,Tulare,35.8556,-118.74542,2017,135,
Skyway Fire,Butte,39.69717,-121.75417,2017,134,
Point Fire,Calaveras,38.40234,-120.52953,2017,130,4
Border Fire,San Diego,32.6001,-116.76997,2017,130,
Olive Fire,San Luis Obispo,35.78286,-120.22647,2017,130,
Oak Fire,Shasta,40.69554,-122.0122,2017,128,
Tumey Fire,Fresno,36.5355,-120.6585,2017,126,
Coronado Fire,Mariposa,37.62823,-120.30046,2017,125,
Twist Fire,Tuolumne,37.90014,-120.36005,2017,124,
Stewart Fire,Riverside,34.009026,-117.239099,2017,122,
Margarita Fire,San Luis Obispo,35.31886,-120.50886,2017,120,
Lamb Fire,Riverside,33.88287,-116.99651,2017,120,
Maria Fire,Calaveras,38.29113,-120.62177,2017,117,
Fallon Fire,Alameda,37.7393,-121.85663,2017,116,
Canyon Fire,Napa,38.49336,-122.2483,2017,114,
Flat Fire,Fresno,36.93332,-119.43376,2017,111,
Lone Fire,Butte,39.38416,-121.5786,2017,111,
Poly Fire,San Luis Obispo,35.3024,-120.65279,2017,105,
Canyon Fire,Riverside,33.950382,-116.884446,2017,105,
Humboldt Fire,Butte,39.76243,-121.74121,2017,103,
Coalinga Fire,Fresno,36.36113,-120.32685,2017,102,
Lariat Fire,Santa Clara,37.39801,-121.8179,2017,101,
Church Fire,San Diego,32.64962,-116.37345,2017,100,
Oakmont Fire (Central LNU Complex),Sonoma,38.46123,-122.58152,2017,100,
Long Fire,Lake,39.0199,-122.57487,2017,100,
Timm Fire,Solano,38.43658,-121.97233,2017,100,
Bally Fire,Santa Clara,36.99092,-121.59899,2017,100,
Parkfield Fire,Fresno,36.09486,-120.52189,2017,100,
Tilton Fire,Santa Clara,37.14653,-121.68165,2017,100,
Mile Fire,San Bernardino,34.19076,-117.26969,2017,100,
Oak Fire,San Bernardino,34.035344,-116.940661,2017,99,
Reed Fire,Riverside,33.57139,-116.8247,2017,92,
Auberry Fire,Fresno,36.95104,-119.65621,2017,91,5
Wilbur Fire,Butte,39.52499,-121.64897,2017,91,
Daulton Fire,Madera,37.09773,-120.02027,2017,90,
Ridge Fire,Lake,39.15016,-122.576,2017,87,
Vista Fire,Ventura,34.34949,-119.30918,2017,86,
Marlborough Fire,Riverside,117.337331,34.015742,2017,85,
Saw Fire,Humboldt,40.11794,-123.76099,2017,85,
Dollar Fire,San Bernardino,34.20152,-117.14466,2017,85,
Ranch Fire,Santa Clara,37.3344,-121.71752,2017,85,
Country Fire,Monterey,35.86596,-120.64584,2017,82,
Loma Fire,San Diego,33.38613,-117.46709,2017,81,
Holiday Fire,El Dorado,38.869036,-119.61865,2017,80,
Mills File,Plumas,40.13278,-120.9204,2017,79,
Fountain Fire ,Tulare,35.89423,-119.00334,2017,79,
Castro Fire,Santa Clara,36.96607,-121.55552,2017,78,
Spring Fire ,Tehama,40.38944,-122.13088,2017,78,
McCourtney Fire (Wind Complex),Nevada,39.19325,-121.08406,2017,76,13
Tivy Fire,Fresno,36.8005,-119.35901,2017,76,
Linne Fire,San Luis Obispo,35.5956,-120.56068,2017,74,
Axel Fire,El Dorado,38.7803,-120.97111,2017,74,
Bryant Fire,San Bernardino,34.07612,-117.06765,2017,74,
Lynch Fire,San Luis Obispo,35.78616,-120.96514,2017,73,
Ellis Fire,Riverside,33.75526,-117.25075,2017,72,
Camatta Fire,San Luis Obispo,35.4403,-120.2913,2017,70,
Sand Fire,Colusa,39.01224,-122.20127,2017,70,
Felipe Fire,Santa Clara,37.25014,-121.68562,2017,70,
Manning Fire,Fresno,36.60736,-120.5828,2017,70,
Hill Fire,Fresno,36.7279,-119.28241,2017,69,
Clay Fire,Sacramento,38.33707,-121.11113,2017,68,
River Fire,Lassen,40.03392,-120.1064,2017,67,
Orange Fire,Stanislaus,37.82934,-120.68992,2017,65,
Placentia Fire,Riverside,33.81976,-117.18552,2017,63,
Westfall Fire,Mariposa,37.36914,-120.0088,2017,63,
Montezuma Fire,San Diego,33.20988,-116.46989,2017,62,
Bottle Fire,Lake,38.94599,-122.81135,2017,62,
Lake Fire,Stanislaus,37.64898,-120.4925,2017,62,
Bolla Fire,Tehama,40.32063,-122.83208,2017,60,
Fox Fire,Tulare,36.18815,-118.78928,2017,59,
Quail Fire,Calaveras,38.18303,-120.85322,2017,59,
Silver Fire,Fresno,36.7528,-119.2288,2017,58,3
Slides Fire,Lake,39.42604,-123.03344,2017,58,
Hogback Fire,Tulare,36.64404,-118.99944,2017,58,
Tower Fire,San Luis Obispo,35.346,-120.62825,2017,58,
Live Fire,Tehama,40.1583,-122.3209,2017,57,
Freedom Fire,Fresno,36.81476,-119.51592,2017,57,
Bogus Fire,Siskiyou,41.93006,-122.36545,2017,56,
Estate Fire,Solano,38.4446,-122.0041,2017,55,2
Owens Fire,Siskiyou,41.99483,-121.90077,2017,55,
Topanga Fire,Los Angeles,34.03941,-118.58624,2017,55,
Bradley Fire,Siskiyou,41.222,-122.292,2017,54,
Bradley Fire,Siskiyou,41.222,-122.27499,2017,54,
Quimby Fire,Santa Clara,37.33454,-121.76323,2017,54,
Weller Fire,Santa Clara,37.44485,-121.84108,2017,51,
Tank Fire,Kern,35.21556,-118.56578,2017,50,
Extension Fire,Riverside,33.8826,-117.00589,2017,50,
Wilson Fire,Los Angeles,34.22551,-118.05545,2017,50,
Skeggs Fire,San Mateo,37.41591,-122.3001,2017,50,
Calgary Fire,Kern,35.70639,-118.47307,2017,50,
Mesa Fire,Santa Barbara,34.72379,-120.13249,2017,50,
West Fire,Yuba,39.06308,-121.303,2017,50,
Grade Fire,Ventura,34.20599,-118.98603,2017,50,
Lago Fire,Riverside,33.87739,-117.16215,2017,50,
Douglas Fire,San Diego,33.23281,-117.29509,2017,50,
Power Fire,Madera,36.94652,-120.90462,2017,48,
Serenas Fire,Riverside,33.58577,-116.07429,2017,48,
Bitterwater Fire,San Benito,36.38109,-121.00391,2017,47,
Zenon Fire,San Luis Obispo,35.06472,-120.5634,2017,47,
Canyon Fire,Riverside,33.6444,-117.3968,2017,46,
Hidden Fire,San Bernardino,34.149,-117.189,2017,46,
Whitepine Fire,Siskiyou,41.8721,-122.4571,2017,46,
Riverbottom Fire,Riverside,33.9885,-117.38417,2017,45,
Pozo Fire,San Luis Obispo,35.28738,-120.44448,2017,45,
Grace Fire,Shasta,40.48712,-121.85645,2017,45,
Mines Fire,Alameda,37.56181,-121.56425,2017,44,
Roser Fire,Tehama,39.81517,-122.28165,2017,43,
Pine Fire,Monterey,36.17297,-120.87609,2017,43,
Lockwood Fire,Monterey,35.96275,-121.08753,2017,42,
Paskenta Fire,Tehama,40.10282,-122.27379,2017,42,
Jones Fire,Modoc,41.38247,-120.53443,2017,42,
Ward Fire,Siskiyou,41.99279,-122.9401,2017,41,
Stokes Fire,Los Angeles,34.10446,-118.70294,2017,41,
Feed Fire,Kern,35.05076,-118.90004,2017,41,
Riverdale Fire,Riverside,33.96514,-117.4764,2017,40,
Palm Fire,Riverside,33.90327,-116.50151,2017,40,
Freeway Fire,San Bernardino,34.13534,-117.4982,2017,40,
Jones Fire,Shasta,40.70627,-122.24199,2017,40,
Lakewood Fire,Kern,35.59302,-118.46734,2017,40,
Hole Fire,Del Norte,41.98128,-124.01168,2017,40,
Translator Fire,Humboldt,41.02705,-123.63721,2017,40,
Vestal Fire,Tehama,40.29831,-122.70449,2017,40,
Murphy Fire,Lake,38.86056,-122.62382,2017,40,
Reservation Fire,Monterey,36.66684,-121.74826,2017,40,
Table Fire,Tuolumne,37.896778,-120.504134,2017,39,
Spenceville Fire,Yuba,39.06522,-121.3519,2017,39,5
Toll Fire,Solano,38.07481,-122.23004,2017,39,
Pine Fire,Marin,37.9775,-122.65749,2017,38,
Red Fire,Tuolumne,37.85137,-120.45268,2017,38,
 Bridge Fire,Shasta,40.774,-122.309,2017,37,
Banderilla Fire,Mariposa,37.65963,-120.34802,2017,36,
Black Fire,San Diego,33.1683,-116.77342,2017,36,
Melba Fire,Riverside,33.74925,-117.10301,2017,35,
Spaletta Fire,Marin,38.08055,-122.77846,2017,35,
Jurupa Fire,Riverside,33.99316,-117.48405,2017,35,
Latrobe Fire,Sacramento,38.45822,-120.92162,2017,35,
Breckenridge Fire,Kern,35.37351,-118.84134,2017,35,
Smiley Fire,Riverside,33.96419,-117.20507,2017,35,
Meyers Fire,San Bernardino,34.21829,-117.40625,2017,34,
Ellie Fire,Riverside,33.73547,-117.33364,2017,34,
Miller Fire,Humboldt,40.03697,-123.64214,2017,34,
Valley Fire,San Benito,36.85596,-121.30983,2017,34,
Christmas Fire,Riverside,33.763304,-117.314994,2017,33,
Valley Fire,Riverside,33.584036,-116.972036,2017,33,
Creek Fire ,Kern,35.60633,-118.4642,2017,33,
Sandy Fire,Trinity,40.804,-123.375,2017,32,
Sandy Fire,Trinity,40.79902,-123.39253,2017,32,
Washington Fire,Riverside,33.62613,-117.07975,2017,32,
Shore Fire,Monterey,35.90092,-120.93371,2017,32,
Pleyto Fire,Monterey,35.902149,-120.983684,2017,32,
York Fire,Monterey,36.5858,-121.80377,2017,31,
Juniper Fire,Fresno,36.099681,-120.443545,2017,31,
Hub Fire,Kern,35.60001,-118.4683,2017,31,
Castaic Fire,Los Angeles,34.52055,-118.62882,2017,30,
Blocksburg Fire,Humboldt,40.27582,-123.64281,2017,30,
Timber Fire,Riverside,33.96896,-117.25411,2017,30,
Ice Fire,El Dorado,38.77921,-120.46234,2017,29,
Benson Fire,Tehama,40.29118,-122.42606,2017,29,
